filename,relative_time
xa.s16.00.mhz.1977-04-17HR00_evid00249.mseed,552.9056603773585
xa.s16.00.mhz.1977-04-17HR00_evid00249.mseed,37959.09433962264
xa.s16.00.mhz.1977-04-17HR00_evid00249.mseed,85178.11320754717
xa.s16.00.mhz.1975-03-26HR00_evid00186.mseed,899.7735849056604
xa.s16.00.mhz.1972-11-06HR00_evid00079.mseed,899.1698113207547
xa.s16.00.mhz.1972-11-06HR00_evid00079.mseed,15944.150943396226
xa.s16.00.mhz.1972-11-06HR00_evid00079.mseed,16550.33962264151
xa.s16.00.mhz.1972-11-06HR00_evid00079.mseed,57092.22641509434
xa.s16.00.mhz.1972-11-06HR00_evid00079.mseed,57257.35849056604
xa.s16.00.mhz.1972-11-06HR00_evid00079.mseed,71327.09433962264
xa.s16.00.mhz.1975-02-19HR00_evid00180.mseed,706.2641509433962
xa.s16.00.mhz.1975-02-19HR00_evid00180.mseed,9430.188679245282
xa.s16.00.mhz.1975-02-19HR00_evid00180.mseed,10231.547169811322
xa.s16.00.mhz.1975-02-19HR00_evid00180.mseed,28232.0
xa.s16.00.mhz.1975-02-19HR00_evid00180.mseed,36846.64150943396
xa.s16.00.mhz.1975-02-19HR00_evid00180.mseed,50688.75471698113
xa.s16.00.mhz.1975-02-19HR00_evid00180.mseed,83568.15094339622
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,899.1698113207547
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,1758.7924528301887
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,4650.415094339623
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,5980.981132075472
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,6426.415094339623
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,16790.79245283019
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,17157.584905660377
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,17383.69811320755
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,22016.30188679245
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,22362.56603773585
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,26907.32075471698
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,27862.33962264151
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,28819.01886792453
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,39996.981132075474
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,42505.50943396227
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,42619.622641509435
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,43772.07547169811
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,53203.47169811321
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,57984.75471698113
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,61281.50943396227
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,65202.264150943396
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,72875.32075471699
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,75847.84905660378
xa.s16.00.mhz.1974-11-11HR00_evid00160.mseed,75944.60377358491
xa.s16.00.mhz.1974-12-12HR02_evid00168.mseed,706.2641509433962
xa.s16.00.mhz.1974-12-12HR02_evid00168.mseed,45676.22641509434
xa.s16.00.mhz.1974-12-12HR02_evid00168.mseed,55830.943396226416
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,899.1698113207547
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,1130.566037735849
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,1332.9811320754718
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,1598.9433962264152
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,12249.66037735849
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,20075.924528301886
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,24776.45283018868
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,30637.584905660377
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,30815.245283018867
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,34975.698113207545
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,37322.264150943396
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,52657.811320754714
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,52985.50943396227
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,54705.660377358494
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,61623.3962264151
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,74100.67924528301
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,77156.07547169812
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,83125.43396226416
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,83345.05660377358
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,83758.3396226415
xa.s16.00.mhz.1974-12-25HR00_evid00174.mseed,84282.41509433962
