xa.s12.00.mhz.1970-01-19HR00_evid00002.mseed,73650.72,evid00002
xa.s12.00.mhz.1970-03-25HR00_evid00003.mseed,13060.83,evid00003
xa.s12.00.mhz.1970-03-26HR00_evid00004.mseed,73244.98,evid00004
xa.s12.00.mhz.1970-04-25HR00_evid00006.mseed,4810.87,evid00006
xa.s12.00.mhz.1970-04-26HR00_evid00007.mseed,52281.96,evid00007
xa.s12.00.mhz.1970-06-15HR00_evid00008.mseed,68511.4,evid00008
xa.s12.00.mhz.1970-06-26HR00_evid00009.mseed,72433.51,evid00009
xa.s12.00.mhz.1970-07-20HR00_evid00010.mseed,18605.89,evid00010
xa.s12.00.mhz.1970-07-20HR00_evid00011.mseed,18605.89,evid00011
xa.s12.00.mhz.1970-09-26HR00_evid00013.mseed,72027.77,evid00013
xa.s12.00.mhz.1970-10-24HR00_evid00014.mseed,41732.83,evid00014
xa.s12.00.mhz.1970-11-12HR00_evid00015.mseed,46601.66,evid00015
xa.s12.00.mhz.1970-12-11HR00_evid00017.mseed,26991.09,evid00017
xa.s12.00.mhz.1970-12-27HR00_evid00019.mseed,74191.7,evid00019
xa.s12.00.mhz.1970-12-31HR00_evid00021.mseed,56474.57,evid00021
xa.s12.00.mhz.1971-01-15HR00_evid00022.mseed,45925.43,evid00022
xa.s12.00.mhz.1971-01-28HR00_evid00023.mseed,54040.15,evid00023
xa.s12.00.mhz.1971-01-29HR00_evid00024.mseed,66347.47,evid00024
xa.s12.00.mhz.1971-02-09HR00_evid00026.mseed,13601.81,evid00026
xa.s12.00.mhz.1971-03-25HR00_evid00028.mseed,55392.6,evid00028
xa.s12.00.mhz.1971-04-13HR02_evid00029.mseed,37675.47,evid00029
xa.s12.00.mhz.1971-04-17HR00_evid00030.mseed,25773.89,evid00030
xa.s12.00.mhz.1971-05-12HR00_evid00031.mseed,35376.3,evid00031
xa.s12.00.mhz.1971-05-12HR00_evid00032.mseed,35376.3,evid00032
xa.s12.00.mhz.1971-05-13HR00_evid00033.mseed,11032.15,evid00033
xa.s12.00.mhz.1971-05-23HR00_evid00034.mseed,80548.23,evid00034
xa.s12.00.mhz.1971-06-12HR00_evid00035.mseed,39298.42,evid00035
xa.s12.00.mhz.1971-09-25HR00_evid00042.mseed,32400.91,evid00042
xa.s12.00.mhz.1971-10-18HR00_evid00043.mseed,12384.6,evid00043
xa.s12.00.mhz.1971-10-20HR00_evid00044.mseed,65536,evid00044
xa.s12.00.mhz.1971-10-31HR00_evid00045.mseed,20093.58,evid00045
xa.s12.00.mhz.1971-11-14HR00_evid00046.mseed,15630.49,evid00046
xa.s12.00.mhz.1972-01-04HR00_evid00049.mseed,24015.7,evid00049
xa.s12.00.mhz.1972-03-12HR00_evid00052.mseed,64995.02,evid00052
xa.s12.00.mhz.1972-05-11HR00_evid00055.mseed,49171.32,evid00055
xa.s12.00.mhz.1972-06-16HR00_evid00060.mseed,58638.49,evid00060
xa.s12.00.mhz.1972-07-17HR00_evid00067.mseed,79872,evid00067
xa.s12.00.mhz.1972-07-17HR00_evid00068.mseed,79872,evid00068
xa.s12.00.mhz.1972-07-28HR00_evid00070.mseed,8868.23,evid00070
xa.s12.00.mhz.1972-07-31HR00_evid00071.mseed,65671.25,evid00071
xa.s12.00.mhz.1972-12-02HR00_evid00083.mseed,29155.02,evid00083
xa.s12.00.mhz.1972-12-02HR00_evid00083.mseed,78925.28,evid00083
xa.s12.00.mhz.1972-12-03HR00_evid00084.mseed,9679.7,evid00084
xa.s12.00.mhz.1973-01-18HR00_evid00088.mseed,83117.89,evid00088
xa.s12.00.mhz.1973-01-31HR00_evid00091.mseed,2917.43,evid00091
xa.s12.00.mhz.1973-03-01HR00_evid00093.mseed,26179.62,evid00093
xa.s12.00.mhz.1973-03-13HR00_evid00094.mseed,29155.02,evid00094
xa.s12.00.mhz.1973-03-24HR00_evid00097.mseed,69999.09,evid00097
xa.s12.00.mhz.1973-05-14HR00_evid00104.mseed,2782.19,evid00104
xa.s12.00.mhz.1973-05-14HR00_evid00104.mseed,41056.6,evid00104
xa.s12.00.mhz.1973-06-05HR00_evid00107.mseed,9950.19,evid00107
xa.s12.00.mhz.1973-06-05HR00_evid00108.mseed,9950.19,evid00108
xa.s12.00.mhz.1973-06-18HR00_evid00109.mseed,6298.57,evid00109
xa.s12.00.mhz.1973-06-27HR00_evid00112.mseed,67294.19,evid00112
xa.s12.00.mhz.1973-07-03HR00_evid00113.mseed,66076.98,evid00113
xa.s12.00.mhz.1973-07-04HR00_evid00114.mseed,10491.17,evid00114
xa.s12.00.mhz.1973-07-20HR00_evid00117.mseed,30236.98,evid00117
xa.s12.00.mhz.1973-07-28HR00_evid00120.mseed,3187.92,evid00120
xa.s12.00.mhz.1973-07-29HR00_evid00121.mseed,84740.83,evid00121
xa.s12.00.mhz.1973-08-21HR00_evid00127.mseed,44708.23,evid00127
xa.s12.00.mhz.1974-01-10HR00_evid00136.mseed,84199.85,evid00136
xa.s12.00.mhz.1974-02-07HR00_evid00137.mseed,23068.98,evid00137
xa.s12.00.mhz.1974-02-12HR00_evid00138.mseed,81089.21,evid00138
xa.s12.00.mhz.1974-03-25HR00_evid00140.mseed,61478.64,evid00140
xa.s12.00.mhz.1974-04-08HR00_evid00141.mseed,31318.94,evid00141
xa.s12.00.mhz.1974-04-19HR00_evid00142.mseed,66888.45,evid00142
xa.s12.00.mhz.1974-04-26HR00_evid00144.mseed,33618.11,evid00144
xa.s12.00.mhz.1974-04-27HR00_evid00145.mseed,51740.98,evid00145
xa.s12.00.mhz.1974-06-25HR00_evid00149.mseed,1700.23,evid00149
xa.s12.00.mhz.1974-07-06HR00_evid00150.mseed,10896.91,evid00150
xa.s12.00.mhz.1974-07-06HR00_evid00151.mseed,10896.91,evid00151
xa.s12.00.mhz.1974-07-11HR00_evid00152.mseed,3458.42,evid00152
xa.s12.00.mhz.1974-07-17HR00_evid00153.mseed,43896.75,evid00153
xa.s12.00.mhz.1974-10-14HR00_evid00156.mseed,63913.06,evid00156
xa.s12.00.mhz.1975-04-12HR00_evid00191.mseed,66076.98,evid00191
